"Symbol","Bid","Bid Sz","Ask","Ask Sz","Shares","Price","Order ID","Timestamp"
"AA","56.100","1","56.140","3","213","56.14","b35c00ef-bc3c-48bf-a94f-ff1c823ccd58","2022-01-31 10:34:10.006"
"AA","56.060","8","56.080","1","-213","56.08","558b41a8-28d4-4d23-b7eb-79a3bca266a2","2022-01-31 10:35:20.903"
"AA","56.170","2","56.200","3","213","56.20","f31153e8-b2e2-43e1-aefe-e3eca9572153","2022-01-31 10:35:50.006"
"AA","56.140","1","56.160","1","-213","56.16","bb60d45f-703d-4f66-b1ee-22d188cb2827","2022-01-31 10:36:47.480"
"AA","56.120","5","56.170","1","215","55.81","3b541f47-bc27-4a2d-9e7b-7f795431ae2f","2022-01-31 10:38:53.943"
"AA","56.050","1","56.080","2","215","55.81","59510c5b-5245-42cf-a2a9-b1ad0086a621","2022-01-31 10:38:53.943"
"AA","56.080","1","56.110","2","215","55.81","92746c14-65ab-4be7-a22d-1c3b3bb2c672","2022-01-31 10:38:53.943"
"AA","56.110","1","56.140","1","215","55.81","40159a8e-5f2c-47fc-bab8-7b1d9b8530e0","2022-01-31 10:38:53.943"
"AA","56.080","12","56.120","4","215","55.76","7fa3f88f-b159-4f6a-babc-5899f27550ef","2022-01-31 10:39:09.007"
"AA","56.100","2","56.120","6","215","55.76","85672a2c-9f77-463d-8ba4-3e26847ece8b","2022-01-31 10:39:09.007"
"AA","56.080","9","56.100","3","215","55.76","168a45bc-3df3-4690-9b3f-422e5f3d94ff","2022-01-31 10:39:09.007"
"AA","55.690","2","55.720","3","-215","55.72","c9d55b51-81c2-4df6-ac44-0ea293509d08","2022-01-31 10:39:40.310"
"AA","55.690","2","55.720","3","-215","55.72","77549534-f4bb-4c9f-a534-66fd04392bd2","2022-01-31 10:39:40.310"
"AA","55.690","2","55.720","3","-215","55.72","d9581d60-f7a9-4ae3-95ad-66615bcfb92d","2022-01-31 10:39:40.310"
"AA","55.690","2","55.720","3","-215","55.72","5e60b65d-c658-4621-bcd8-004c4a451296","2022-01-31 10:39:40.310"
"AA","55.720","5","55.740","1","-215","55.74","140c0bdb-b8ad-4d77-9570-db7816bc983d","2022-01-31 10:39:51.684"
"AA","55.720","5","55.740","1","-215","55.74","deb20d16-5879-4e66-bd86-258421db2593","2022-01-31 10:39:51.684"
"AA","55.620","1","55.640","3","-215","55.65","9f0d64fd-4b08-4131-9073-5c01fdab979e","2022-01-31 10:41:14.030"
"AA","55.700","1","55.740","3","213","55.74","0075a753-6de6-4e0c-acc5-95919d3392b6","2022-01-31 10:45:10.006"
"AA","55.420","5","55.450","1","-213","55.45","c9b576d9-865c-4f61-a054-72ff6cfd16cf","2022-01-31 10:46:42.905"
"AA","55.810","1","55.830","1","214","55.83","ea2ff919-84bd-4e35-a9b4-fb2041ec398f","2022-01-31 10:51:00.006"
"AA","55.820","1","55.840","1","-214","55.84","0d8f36e6-8181-4650-9ada-6ee6d198b692","2022-01-31 10:52:53.037"
"AA","56.250","5","56.260","1","214","55.99","045e27fe-c969-42f7-9ada-2252cdeb99c9","2022-01-31 11:19:45.879"
"AA","56.250","2","56.290","5","214","55.99","059ad59b-006b-4acb-82ba-2c0ddd6e205d","2022-01-31 11:19:45.879"
"AA","56.220","8","56.240","1","214","55.99","6ffb3971-02ef-41a6-99fc-0d103097f354","2022-01-31 11:19:45.879"
"AA","56.210","5","56.250","1","214","55.99","b9780516-5d62-4f91-b159-46095bc99c9b","2022-01-31 11:19:45.879"
"AA","55.960","1","55.980","5","-214","55.99","ad9f1b71-5d90-4134-bbe1-1b7cfd937111","2022-01-31 11:20:00.881"
"AA","55.960","1","55.980","5","-214","55.99","b16d3497-0658-46cb-927b-a595f4f2120d","2022-01-31 11:20:00.881"
"AA","55.970","1","55.980","1","-214","55.98","41014f70-3a51-4b23-986e-910eb0704025","2022-01-31 11:20:10.074"
"AA","56.030","1","56.040","3","-214","56.04","0b3e79dc-e23d-446f-b91e-2bba3fb4789d","2022-01-31 11:20:22.255"
"AA","56.490","2","56.520","1","214","55.86","7152cc30-cfa1-4c95-8788-819b6afb870d","2022-01-31 11:22:14.552"
"AA","56.440","6","56.450","1","214","55.86","9267674d-cfe9-4918-a922-6a9e2f7e18f2","2022-01-31 11:22:14.552"
"AA","55.870","1","55.910","4","-214","55.91","259d233e-47bc-44f5-8b87-93cb664e6c52","2022-01-31 11:22:35.850"
"AA","56.440","1","56.460","1","214","55.85","07f6f074-e61e-4fec-949e-94e67d070278","2022-01-31 11:23:49.882"
"AA","56.470","5","56.520","1","214","55.85","26f10390-726b-46cf-b773-57bfb4693279","2022-01-31 11:23:49.882"
"AA","55.920","1","55.940","1","-214","55.94","e952d0b4-c4e3-45de-be08-c82cb7ddad44","2022-01-31 11:24:44.356"
"AA","55.930","3","55.950","1","-214","55.95","b203be0d-d396-445c-91c5-41cc8be099b7","2022-01-31 11:24:52.199"
"AA","55.940","1","55.970","3","-214","55.97","f5715c25-bc8f-42d6-bd7c-107fef21d60d","2022-01-31 11:25:08.046"
"AA","56.530","4","56.560","1","216","55.51","5d23c514-b9e2-4093-baca-707e5848352a","2022-01-31 11:39:02.046"
"AA","55.440","6","55.480","6","-216","55.48","37950972-e817-4e52-8556-430c7afdb699","2022-01-31 11:39:36.491"
"AA","55.470","1","55.490","1","217","55.29","153813ee-0278-4696-9516-4498e17ce2f8","2022-01-31 12:09:24.023"
