"Symbol","Bid","Bid Sz","Ask","Ask Sz","Shares","Price","Order ID","Timestamp"
"AA","49.820","1","49.860","2","23","49.86","7fc80987-fe15-417c-a63f-3cd720b7b87b","2021-11-23 10:12:40.006"
"AA","49.800","1","49.830","5","-23","49.83","cd86d1bd-771d-4103-8978-5841540f4f3e","2021-11-23 10:13:40.373"
"AA","49.780","1","49.830","1","23","49.83","b452c809-14a5-44d9-b776-3fd46e1c886c","2021-11-23 10:14:00.006"
"AA","49.820","2","49.870","5","-23","49.87","3adf7807-4727-4481-9839-0345fc8e96a4","2021-11-23 10:15:13.762"
"AA","49.980","1","50.000","2","23","49.84","6f2fc46b-ed19-406e-aa27-82ab2094fa65","2021-11-23 10:21:03.136"
"AA","49.920","1","49.960","2","23","49.84","ee3a5a7e-1d88-473d-874c-6d1a236764d3","2021-11-23 10:21:03.136"
"AA","49.690","2","49.710","2","-23","49.71","c6df4b77-114c-4cec-9a1e-cb894a5a52af","2021-11-23 10:21:52.361"
"AA","49.690","1","49.700","1","-23","49.70","1f476be1-3730-4f56-89fc-eb98ebb7869d","2021-11-23 10:22:00.804"
"AA","50.050","2","50.100","20","23","49.63","76f6606e-b35f-4f16-b50f-e147516e3467","2021-11-23 10:24:43.026"
"AA","49.800","1","49.830","1","-23","49.83","c4bd3b7a-fd5a-4474-aa9c-4d4ec811bcd7","2021-11-23 10:26:17.393"
"AA","49.650","2","49.670","2","23","49.54","e04b3182-fdd5-41f6-8822-b26eaccacdbd","2021-11-23 10:48:29.616"
"AA","49.650","1","49.660","1","23","49.54","3fbb1ec0-6ff3-4ce4-94b7-7a69098f2b7b","2021-11-23 10:48:29.616"
"AA","49.650","1","49.670","1","23","49.54","284cdf57-d1b2-4cb5-9ca0-80e53034df10","2021-11-23 10:48:29.616"
"AA","49.640","1","49.670","1","23","49.54","9dfc1d22-af96-4881-9ea7-a3e74e07334f","2021-11-23 10:48:29.616"
"AA","49.620","3","49.650","1","23","49.54","fe6bcc2f-c227-4a59-9664-380c2eae1c2a","2021-11-23 10:48:29.616"
"AA","49.470","11","49.510","4","-23","49.51","80c5b9d5-4642-414c-89fd-578af7cf96e0","2021-11-23 10:51:00.660"
"AA","49.690","2","49.730","4","23","49.44","30de66db-2df2-438e-8151-f70d0552e931","2021-11-23 10:51:36.742"
