"Symbol","Bid","Bid Sz","Ask","Ask Sz","Shares","Price","Order ID","Timestamp"
"AA","70.820","20","70.850","1","16","70.69","0da04bd3-7428-4035-bec9-c2a6a7bebf6e","2022-02-10 10:12:20.967"
"AA","70.840","8","70.870","3","16","70.69","279e7137-eb99-4f2d-a9d6-4eedac4a5565","2022-02-10 10:12:20.967"
"AA","70.830","1","70.850","2","16","70.69","46984103-f0c5-443a-a691-8a0a14aae422","2022-02-10 10:12:20.967"
"AA","70.710","1","70.730","1","-16","70.73","bba97db3-69fa-4a14-86e2-83a8c7695288","2022-02-10 10:13:37.626"
"AA","70.620","1","70.640","2","-16","70.65","c208dc8d-a3c5-4d8f-bbe7-e773074ed010","2022-02-10 10:14:00.132"
"AA","70.450","4","70.480","1","-16","70.48","d640eaff-6895-4a7e-9657-e451b2c89cc7","2022-02-10 10:14:11.224"
"AA","70.510","2","70.540","1","16","70.54","d38de2c9-61a3-4588-9eac-d704350d8273","2022-02-10 10:25:00.006"
"AA","70.440","4","70.480","1","-16","70.48","2dd7471f-00b6-4fd5-b941-7a44ceb03025","2022-02-10 10:25:31.434"
"AA","70.520","1","70.550","3","16","70.55","2b5c3379-af7c-49d9-bf58-3af047d9cb9a","2022-02-10 10:25:50.006"
"AA","70.740","3","70.770","1","-16","70.77","414d8d5c-61d7-4caf-8cb2-6306ffaf204f","2022-02-10 10:30:21.255"
"AA","71.230","2","71.250","1","16","70.96","8cdfafa1-8f26-4915-9fd6-86be0a3a12a6","2022-02-10 10:55:17.089"
"AA","71.200","2","71.210","1","16","70.96","57c4e353-4e7e-44b9-ab88-c1eb402a07a4","2022-02-10 10:55:17.089"
"AA","71.200","80","71.220","1","16","70.96","352794d0-80f9-4157-b715-e80c918bbd8d","2022-02-10 10:55:17.089"
"AA","71.060","3","71.110","1","16","70.96","2a8f0b2b-a3f0-421b-982a-01fdb6408ce4","2022-02-10 10:55:17.089"
"AA","71.100","3","71.150","4","-16","71.15","aee62552-f862-44e6-9b0e-761948595753","2022-02-10 10:55:38.925"
"AA","71.100","3","71.150","4","-16","71.15","4f65aab7-f2d1-462a-aaff-3db2dc537842","2022-02-10 10:55:38.925"
"AA","71.140","3","71.200","10","-16","71.21","07bf0caa-5b23-4a40-b629-fe04ef6f1944","2022-02-10 10:55:44.962"
"AA","71.140","2","71.180","3","-16","71.18","0a2b102c-5009-4d6a-86c0-d951d1e09ca3","2022-02-10 10:55:53.865"
"AA","73.470","2","73.520","2","16","73.32","a1c667c7-ec81-4554-8e2b-bf0f23f47323","2022-02-10 12:04:13.598"
"AA","73.510","2","73.550","1","16","73.32","565e5957-eb45-4dc4-a9a7-53fb827e502a","2022-02-10 12:04:13.598"
"AA","73.420","3","73.450","1","16","73.32","8db7129a-5e00-4487-a654-812780c7b688","2022-02-10 12:04:13.598"
"AA","73.490","3","73.530","1","16","73.31","f8e9a2f6-f03a-40d1-8bb2-01b5f89d1557","2022-02-10 12:04:14.157"
"AA","73.580","1","73.590","1","16","73.31","3381922e-744e-4e27-b92c-5b05898bcd8a","2022-02-10 12:04:14.157"
"AA","73.610","2","73.640","1","16","73.31","c02202e6-6e96-4a90-b705-39393cc3aee5","2022-02-10 12:04:14.157"
"AA","73.530","1","73.580","5","16","73.31","fa361f23-f6c4-4183-936d-88d745d75e98","2022-02-10 12:04:14.157"
"AA","73.360","1","73.400","2","16","73.09","69499a22-0349-46a1-b236-d5a63f0e2cf5","2022-02-10 12:05:05.393"
"AA","73.110","1","73.140","4","-16","73.14","d6b67c6e-5ea3-4bcf-8deb-52b3d413c46f","2022-02-10 12:05:20.020"
"AA","73.110","1","73.140","4","-16","73.14","75318749-4b72-4a5d-aa92-85c01e8447df","2022-02-10 12:05:20.020"
"AA","73.110","1","73.140","4","-16","73.14","71d7cb56-7bfc-4e52-8285-72966c89c60d","2022-02-10 12:05:20.020"
"AA","73.110","1","73.140","4","-16","73.14","c12034a7-659a-4f64-9e2d-db36decd17e4","2022-02-10 12:05:20.020"
"AA","73.090","1","73.120","1","-16","73.12","e5acea8d-7a1c-4039-9ba4-38b690e482a1","2022-02-10 12:05:52.961"
"AA","73.090","1","73.120","1","-16","73.12","4807a27c-a923-4ee3-b183-592423a4e61a","2022-02-10 12:05:52.961"
"AA","73.120","2","73.150","1","-16","73.15","cb7448ca-909f-411e-8c87-d496180f1d52","2022-02-10 12:06:20.316"
"AA","73.280","4","73.320","4","-16","73.32","dcafb525-024e-406b-b532-fda96ae37b07","2022-02-10 12:06:34.619"
"AA","73.530","3","73.580","1","16","73.29","7b9ac500-302d-49d1-8199-b0265e10766a","2022-02-10 12:11:37.031"
"AA","73.410","1","73.440","1","16","73.24","25a72ed1-6240-4e02-84d1-983260311e14","2022-02-10 12:12:14.041"
"AA","73.320","2","73.350","3","-16","73.35","4c09c0e1-96ed-4f23-89d3-88894824c4d3","2022-02-10 12:14:00.187"
"AA","73.300","2","73.340","2","-16","73.35","ba4403a1-aafa-4b06-956a-386cf9927cc0","2022-02-10 12:14:15.741"
"AA","73.090","3","73.110","2","16","73.09","a9f08c07-de5a-40fc-8961-0ab2a91b354d","2022-02-10 12:36:04.187"
"AA","72.960","4","72.990","1","-16","72.99","92adc090-dc71-4e88-9c4f-e6f295af3935","2022-02-10 12:44:20.515"
"AA","73.070","1","73.080","1","16","72.76","35016779-88a7-416b-8011-d6c3b0ea409e","2022-02-10 13:13:24.331"
"AA","72.870","1","72.890","1","-16","72.89","75c95a49-89fc-429b-8777-36aa485a1377","2022-02-10 13:14:17.877"
"AA","72.910","3","72.940","1","16","72.45","605632e2-8e05-48c7-bd75-68c7d5060cd7","2022-02-10 13:17:22.623"
"AA","72.880","1","72.940","2","16","72.42","a5e17784-7351-4d12-8014-e7a655b86170","2022-02-10 13:18:23.671"
"AA","72.970","1","73.020","1","16","72.42","4cf1fdae-7a9c-4324-9157-acffaaedc435","2022-02-10 13:18:23.671"
"AA","73.030","1","73.080","1","16","72.42","bc531d3a-77a6-43a4-907d-8e4fb04a16fa","2022-02-10 13:18:23.671"
"AA","72.990","1","73.030","1","16","72.42","c044fd0c-017c-4278-abd8-2c3c590fb03e","2022-02-10 13:18:23.671"
"AA","72.970","2","73.010","1","16","72.42","66d4286e-cafa-41b9-bf1a-a7a608e43f0c","2022-02-10 13:18:23.671"
