"Symbol","Bid","Bid Sz","Ask","Ask Sz","Shares","Price","Order ID","Timestamp"
"AA","60.790","13","60.920","1","6","60.92","add313da-5c9c-44f9-8f20-43f857a83142","2022-01-20 09:55:20.006"
"AA","60.810","1","60.920","1","-6","60.92","d1ae096d-5461-4c7a-bf20-78d2debf4045","2022-01-20 09:55:42.176"
"AA","60.730","2","60.780","1","6","60.47","ede8a762-e0b0-4a54-996b-66a072855175","2022-01-20 10:10:18.977"
"AA","60.310","1","60.460","3","-6","60.47","435e98e6-2776-4171-86cc-63bbba9699f4","2022-01-20 10:13:05.008"
"AA","60.450","1","60.510","3","6","60.51","cde05b5b-46a4-4fa9-a3c4-13e1c9b60959","2022-01-20 10:36:30.006"
"AA","60.000","8","60.040","3","-6","60.04","8d19bb09-3fee-4fe9-b610-a21ede791d83","2022-01-20 10:39:22.927"
"AA","62.000","10","62.050","1","6","61.94","1f9f0019-9f4f-4d28-8eab-c80b2c9cc789","2022-01-20 11:19:12.612"
"AA","62.010","1","62.050","1","6","61.94","a008dd06-aac2-453f-ad87-722b2f3d019b","2022-01-20 11:19:12.612"
"AA","61.910","1","61.950","1","-6","61.95","8ca035b5-326e-412d-95c2-2a7e8e68c559","2022-01-20 11:19:30.113"
"AA","61.900","1","61.930","1","-6","61.93","25b7f235-9b94-4b37-8522-7cd3825966a0","2022-01-20 11:19:42.948"
"AA","62.220","1","62.290","2","6","62.13","679f90f2-f856-4c27-a7a3-e09c4f6ab798","2022-01-20 11:22:57.238"
"AA","62.170","1","62.250","1","-6","62.27","99f840ad-c056-49d9-8764-f28e21f7438f","2022-01-20 11:23:55.276"
"AA","62.170","1","62.240","1","6","61.99","1f91bf42-b6a1-4f15-a326-d27c1ae01769","2022-01-20 11:30:13.759"
"AA","62.190","1","62.240","1","-6","62.24","ad46ce17-fd2e-45b2-a782-51cb050281ca","2022-01-20 11:32:03.171"
"AA","63.470","2","63.500","1","6","63.35","e9ca4a4a-8731-49d5-a1a7-03bb6c800ff2","2022-01-20 12:48:44.506"
"AA","63.440","1","63.490","2","6","63.35","cd728b07-dfe5-4aa7-b076-ddc96ea7e0e4","2022-01-20 12:48:44.506"
"AA","63.390","8","63.440","1","-6","63.44","bdeab347-1418-4274-9594-f5bb9cb30b9d","2022-01-20 12:49:06.429"
"AA","63.460","3","63.510","1","-6","63.51","d64d1798-6f11-4c73-b607-749093deb319","2022-01-20 12:49:10.690"
"AA","63.630","4","63.690","2","6","63.64","7456cfd5-0c39-4bcb-973e-7d7a520ca78d","2022-01-20 12:59:02.329"
"AA","63.830","1","63.880","1","-6","63.88","44e5deae-ba74-4da8-ab5b-c667862dfa56","2022-01-20 12:59:32.530"
"AA","63.830","3","63.880","1","6","63.65","023c1c9d-18af-47be-97b6-4f6db002c161","2022-01-20 13:00:48.381"
"AA","63.830","3","63.870","1","6","63.65","d7cbfee6-ea5d-490d-ad35-95801ac4c3cb","2022-01-20 13:00:48.381"
"AA","63.800","7","63.860","1","6","63.65","f82e645c-bbdd-410b-a923-f47fe1b6deeb","2022-01-20 13:00:48.381"
"AA","63.810","5","63.870","1","6","63.65","6ca2eb0d-e321-44ff-bb98-cbc181624e23","2022-01-20 13:00:48.381"
"AA","63.770","1","63.830","1","6","63.65","b431d323-4481-4aab-9b01-f7eba6b16d4f","2022-01-20 13:00:48.381"
"AA","63.720","4","63.780","10","6","63.65","9494305c-2fa8-4c9d-a971-14894e0a6c38","2022-01-20 13:00:48.381"
"AA","63.680","4","63.710","2","-6","63.71","130efa81-c8db-4ed3-a094-ec43a136a7db","2022-01-20 13:01:10.642"
"AA","63.680","4","63.710","2","-6","63.71","63966424-3911-4fe7-a0b9-f60e029ae4e6","2022-01-20 13:01:10.642"
"AA","63.680","4","63.710","2","-6","63.71","c82bdaa6-f1a3-4dbe-bac3-bf714ecfe834","2022-01-20 13:01:10.642"
"AA","63.530","2","63.580","3","-6","63.58","9b3b1150-f0a0-43ef-84c7-538d25ebcce2","2022-01-20 13:02:19.146"
"AA","63.550","1","63.600","1","-6","63.61","b9f57342-0aba-477c-84be-5f934176b5c4","2022-01-20 13:02:35.964"
"AA","63.520","3","63.580","3","-6","63.58","a4ec46d9-374f-4b3d-956c-5e4c248078e5","2022-01-20 13:03:01.106"
"AA","63.530","1","63.580","1","6","63.45","f23b6fb8-cb6c-4975-9980-109227a3209b","2022-01-20 13:03:47.672"
"AA","63.350","1","63.400","1","-6","63.40","22e648da-6d3d-4eaf-8dd0-11c66a70fd4d","2022-01-20 13:04:21.119"
"AA","63.450","3","63.490","3","6","63.25","3d874e25-b10a-4d0a-a850-7c475a40ab6d","2022-01-20 13:04:33.520"
"AA","63.440","3","63.470","1","6","63.25","faf9ea08-7886-4361-942f-42aad5b76c31","2022-01-20 13:04:33.520"
"AA","63.280","2","63.320","1","-6","63.32","65f2e8ff-5cae-4035-9f72-73fb659b6b88","2022-01-20 13:05:00.445"
"AA","63.310","12","63.360","2","-6","63.36","0eb12280-6209-415b-9558-0883104e654a","2022-01-20 13:05:36.235"
"AA","63.480","1","63.540","1","6","63.38","798358f0-fa5a-495d-bd1e-b65a5e5ac8f2","2022-01-20 13:10:33.367"
"AA","63.540","2","63.580","2","6","63.38","8cd54654-963c-41dd-a1b8-f2a440c69610","2022-01-20 13:10:33.367"
"AA","63.490","9","63.540","2","6","63.38","54d9b775-6a66-428a-a2ea-48c303395dfc","2022-01-20 13:10:33.367"
"AA","63.500","1","63.550","20","6","63.38","a1b8a519-7b49-42ff-85df-2055ed3188c9","2022-01-20 13:10:33.367"
"AA","63.380","1","63.430","5","-6","63.43","fd4a4b87-97c8-460c-a1c2-5744f4d0f7b1","2022-01-20 13:10:56.755"
"AA","63.380","1","63.430","5","-6","63.43","70ce6113-399b-4caf-a7de-de81f0958bbb","2022-01-20 13:10:56.755"
"AA","63.410","1","63.440","1","-6","63.44","b70d8103-96f7-4622-9244-0837a8dbd689","2022-01-20 13:11:00.068"
"AA","63.430","1","63.460","2","-6","63.46","eb213d63-4f35-4926-89d6-7b8807f3708b","2022-01-20 13:13:43.486"
"AA","63.770","1","63.820","1","6","62.97","a094d7ae-fda1-41cd-b6ea-5817a1a0aa61","2022-01-20 13:23:35.154"
"AA","62.760","2","62.810","1","-6","62.83","23865d79-cc2e-4372-b34e-1c25688da8f4","2022-01-20 13:30:10.806"
"AA","62.940","1","62.990","2","6","62.99","bfd6d302-e479-4aa5-af5c-927b74c9c8ca","2022-01-20 13:35:10.006"
"AA","62.920","1","62.960","1","-6","62.96","7b2c33a9-b9fd-4895-ad72-8a96b440e137","2022-01-20 13:37:20.521"
"AA","62.990","1","63.040","1","6","62.83","bb22f73a-d47f-4496-8717-b1976f2b8c82","2022-01-20 13:45:41.858"
"AA","63.000","1","63.030","2","6","62.83","393a4e93-a8be-4291-ba2d-054d1f93b12a","2022-01-20 13:45:41.858"
"AA","62.990","6","63.030","2","6","62.83","fbc0b62a-c761-46c7-8c53-9b9d53d52d0d","2022-01-20 13:45:41.858"
"AA","63.000","2","63.040","2","6","62.83","9ef18ebd-3b5d-4ecf-ab07-c2f90218c894","2022-01-20 13:45:41.858"
"AA","63.120","1","63.160","1","6","62.79","2320ce27-4f93-45ef-81f3-e10b4a4aeeeb","2022-01-20 13:45:41.872"
"AA","62.890","4","62.940","2","-6","62.94","0218214a-24be-46ec-924e-bbc14b293067","2022-01-20 13:46:07.613"
"AA","62.890","4","62.940","2","-6","62.94","2323182b-91e3-4fa4-ac9d-a781b13e1dca","2022-01-20 13:46:07.613"
"AA","62.890","4","62.940","2","-6","62.94","89edc7be-2d17-4efe-a081-caf61dfd7b30","2022-01-20 13:46:07.613"
"AA","62.900","1","62.950","1","-6","62.95","531ca2dd-692e-4268-91c2-85dc8de86a51","2022-01-20 13:46:23.258"
"AA","62.870","4","62.930","2","-6","62.93","ba3d9e09-580e-491d-991d-7a7ed8523f79","2022-01-20 13:47:17.321"
"AA","62.990","5","63.020","3","6","62.89","7901a1a3-cce1-4e32-9fdb-8fb35317d53a","2022-01-20 13:57:09.626"
"AA","62.970","1","63.020","3","6","62.89","9910ecf9-8739-4ab6-81ec-de68cfae9e44","2022-01-20 13:57:09.626"
"AA","62.870","3","62.910","2","-6","62.91","ade484ee-730e-4423-8182-21b49d18177b","2022-01-20 13:58:15.980"
"AA","62.870","3","62.910","2","-6","62.91","dc1f7252-e161-4a1f-95b7-4ec92c61c870","2022-01-20 13:58:15.980"
"AA","62.990","5","63.020","3","6","62.83","50d0b487-db42-4de8-90de-53dc1204f1fa","2022-01-20 13:58:29.960"
"AA","62.990","1","63.030","3","6","62.77","ebd7989d-99a2-466c-ba18-495bca2f93fe","2022-01-20 13:58:42.156"
"AA","62.980","3","63.010","1","6","62.77","23fbf9c3-5a62-4ff8-9553-afb1ef0d7cb3","2022-01-20 13:58:42.156"
"AA","62.980","1","63.020","1","6","62.74","e0bda675-592f-4a84-9028-23844db15693","2022-01-20 13:58:43.713"
"AA","62.960","1","63.020","3","6","62.74","31535823-918b-4f74-9077-d531f479f3bd","2022-01-20 13:58:43.713"
"AA","62.920","1","62.980","4","6","62.74","6bc3ad6b-fbde-4e41-8d92-be7ba017ce6b","2022-01-20 13:58:43.713"
"AA","63.010","1","63.050","2","6","62.74","fa0840c7-63b7-4058-83d5-efa68a095f15","2022-01-20 13:58:43.713"
"AA","62.800","1","62.840","1","-6","62.84","de66d9c0-4017-47b6-bed0-072ab9b4c2f2","2022-01-20 13:59:04.221"
"AA","62.800","1","62.840","1","-6","62.84","1315438c-2c1f-4b2b-ac1b-98893b47e4eb","2022-01-20 13:59:04.221"
"AA","62.800","1","62.840","1","-6","62.84","f8c8f593-289d-4000-aaf1-4af4fa0e9862","2022-01-20 13:59:04.221"
"AA","62.800","1","62.840","1","-6","62.84","b349938c-f69f-46b9-8c35-7e65e2fa1216","2022-01-20 13:59:04.221"
"AA","62.830","1","62.870","2","-6","62.87","e140ca07-320e-4369-95a9-9b161f3caf1b","2022-01-20 13:59:13.787"
"AA","62.830","1","62.870","2","-6","62.87","a7c16107-0cb8-492f-af1e-aba1d26be68d","2022-01-20 13:59:13.787"
"AA","62.800","3","62.840","1","-6","62.84","4cab7703-3d5d-46d3-8924-c52e2b903943","2022-01-20 13:59:22.416"
"AA","63.070","2","63.110","1","6","62.85","c949d23a-99c0-4e22-a2a8-c80970ce291a","2022-01-20 14:11:16.784"
"AA","63.050","2","63.100","1","6","62.85","c5b45668-478a-4e9d-abd1-7f34e850b1a3","2022-01-20 14:11:16.784"
